"Name";"Nation";"Position";"Club";"Int Caps";"Int Goals";"Wage";"Value";"Date Of Birth";"Contract End";"Unique ID";"Club ID"
"Rodri";"Espagne";"D C, DM";"Man City";"56";"4";"191400";"155034000";"22.06.1996";"30.06.2027";"67217524";"679"
"Saliba, William";"France / Cameroun / Liban";"D C";"Arsenal";"28";"0";"255200";"128726740";"24.03.2001";"30.06.2030";"49039004";"602"
"Gabriel";"Brésil";"D C";"Arsenal";"14";"1";"220400";"103675000";"19.12.1997";"30.06.2029";"19242094";"602"
"Bruno Guimarães";"Brésil / Espagne";"DM";"Newcastle";"35";"1";"208800";"93339400";"16.11.1997";"30.06.2028";"19297055";"688"
"Benzema, Karim";"France / Algérie";"ST";"Al Hilal";"97";"37";"961280";"347999990";"19.12.1987";"30.06.2027";"8435089";"102852"
"Thuram, Marcus";"France / Guadeloupe";"AM L, ST";"Blu-neri";"30";"2";"148250";"85210790";"06.08.1997";"30.06.2028";"48037335";"1135"
"Palmer, Cole";"Angleterre / Saint-Kitts";"AM RLC";"Chelsea";"12";"2";"150800";"242416830";"06.05.2002";"30.06.2033";"28120042";"630"
"Foden, Phil";"Angleterre";"AM RLC";"Man City";"45";"4";"150800";"125207500";"28.05.2000";"30.06.2027";"28108494";"679"
"Vitinha";"Portugal";"DM";"Paris SG";"29";"0";"125120";"222416760";"13.02.2000";"30.06.2029";"83174762";"868"
"Kimmich, Joshua";"Allemagne";"D/WB R, DM";"FC Bayern München";"101";"8";"365290";"141519490";"08.02.1995";"30.06.2029";"92039023";"915"
"Donnarumma, Gianluigi";"Italie";"GK";"Man City";"74";"0";"290000";"103356000";"25.02.1999";"30.06.2030";"43252073";"679"
"Timber, Jurriën";"Pays-Bas / Curaçao";"D RLC";"Arsenal";"18";"0";"127600";"79613890";"17.06.2001";"30.06.2028";"37063644";"602"
"Lewandowski, Robert";"Pologne";"ST";"Barcelone";"158";"85";"501240";"4220750";"21.08.1988";"30.06.2026";"719601";"1708"
"Williams, Nico";"Espagne / Ghana / Pays Basque";"AM RL";"A. Bilbao";"28";"6";"269160";"95235580";"12.07.2002";"30.06.2035";"67276230";"1664"
"Musiala, Jamal";"Allemagne / Angleterre / Nigeria";"AM RLC";"FC Bayern München";"40";"8";"480640";"153561460";"26.02.2003";"30.06.2030";"28124579";"915"
"Kulusevski, Dejan";"Suède / Macédoine du N.";"AM RC";"Spurs";"45";"5";"148480";"75922000";"25.04.2000";"30.06.2028";"43295814";"728"
"De Bruyne, Kevin";"Belgique";"AM C";"Parthenope";"111";"31";"214180";"347999990";"28.06.1991";"30.06.2027";"18004457";"1150"
"Tonali, Sandro";"Italie";"DM";"Newcastle";"25";"2";"191400";"103808400";"08.05.2000";"30.06.2029";"43298481";"688"
"Upamecano, Dayot";"France / Guinée-Bissau";"D C";"FC Bayern München";"30";"2";"384510";"65161190";"27.10.1998";"30.06.2030";"16182894";"915"
"Dias, Rúben";"Portugal";"D C";"Man City";"68";"3";"232000";"103675000";"14.05.1997";"30.06.2029";"55070299";"679"
"Modric, Luka";"Croatie";"DM, AM C";"Casciavit";"188";"28";"124920";"6570500";"09.09.1985";"30.06.2026";"653054";"1099"
"Grimaldo, Alejandro";"Espagne";"D/WB/AM L";"Bayer 04 Leverkusen";"10";"0";"115350";"110205820";"20.09.1995";"30.06.2027";"67153376";"901"
"McTominay, Scott";"Écosse / Angleterre";"DM, AM LC";"Parthenope";"61";"12";"107190";"114907680";"08.12.1996";"30.06.2028";"29125343";"1150"
"Fernández, Enzo";"Argentine";"DM, AM C";"Chelsea";"37";"5";"208800";"130642100";"17.01.2001";"30.06.2032";"14229525";"630"
"Pulisic, Christian";"États-Unis / Croatie";"AM RLC, F C";"Casciavit";"78";"32";"98900";"63682530";"18.09.1998";"30.06.2027";"92074020";"1099"
"Fernandes, Bruno";"Portugal";"DM, AM C";"Man Utd";"80";"25";"348000";"142623560";"08.09.1994";"30.06.2027";"43124203";"680"
"Guirassy, Serhou";"Guinée / France";"ST";"Borussia Dortmund";"24";"9";"201870";"50123990";"12.03.1996";"30.06.2028";"85111795";"907"
"Kobel, Gregor";"Suisse";"GK";"Borussia Dortmund";"13";"0";"173030";"96271750";"06.12.1997";"30.06.2028";"98040383";"907"
"Gabriel Jesus";"Brésil";"AM RL, ST";"Arsenal";"64";"19";"139200";"58464000";"03.04.1997";"30.06.2027";"19220266";"602"
"Oblak, Jan";"Slovénie";"GK";"A. Madrid";"77";"0";"357010";"347999990";"07.01.1993";"30.06.2028";"64016316";"1687"
"Dybala, Paulo";"Argentine / Pologne / Italie";"AM RC, F C";"AS Roma";"40";"4";"249850";"28682550";"15.11.1993";"30.06.2026";"14044150";"1100"
"Raya, David";"Espagne";"GK";"Arsenal";"11";"0";"185600";"70687500";"15.09.1995";"30.06.2028";"29111433";"602"
"Pacho, Willian";"Équateur";"D LC";"Paris SG";"27";"2";"87520";"108229430";"16.10.2001";"30.06.2029";"86075795";"868"
"Vinícius Júnior";"Brésil / Espagne";"AM L, ST";"R. Madrid";"41";"7";"399890";"106812960";"12.07.2000";"30.06.2027";"19302146";"1736"
"Xhaka, Granit";"Suisse / Albanie / Kosovo";"DM";"Sunderland";"137";"14";"133400";"347999990";"27.09.1992";"30.06.2028";"98003821";"722"
"Svilar, Mile";"Serbie / Belgique";"GK";"AS Roma";"1";"0";"84050";"48382180";"27.08.1999";"30.06.2030";"18087914";"1100"
"Koulibaly, Kalidou";"Sénégal / France";"D C";"Al Hilal";"90";"1";"576770";"12791600";"20.06.1991";"30.06.2027";"85051083";"102852"
"Barella, Nicolò";"Italie";"M C";"Blu-neri";"63";"10";"232110";"98735490";"07.02.1997";"30.06.2029";"43139595";"1135"
"Dimarco, Federico";"Italie";"D/WB L";"Blu-neri";"30";"3";"142850";"101021990";"10.11.1997";"30.06.2027";"43143488";"1135"
"Koundé, Jules";"France / Bénin";"D RC";"Barcelone";"42";"0";"260640";"63775160";"12.11.1998";"30.06.2030";"48036304";"1708"
"Acerbi, Francesco";"Italie";"D C";"Blu-neri";"34";"1";"53590";"3911040";"10.02.1988";"30.06.2026";"43017499";"1135"
"Hakimi, Achraf";"Maroc / Espagne";"D/WB/M R";"Paris SG";"84";"11";"280500";"241970500";"04.11.1998";"30.06.2029";"67228634";"868"
"Félix, João";"Portugal";"AM LC, F C";"Al Nassr";"45";"9";"672900";"72383990";"10.11.1999";"30.06.2027";"83169822";"102862"
"de Jong, Frenkie";"Pays-Bas";"DM";"Barcelone";"59";"2";"240320";"78207930";"12.05.1997";"30.06.2029";"37047745";"1708"
"Camavinga, Eduardo";"France / R.D. Congo / Angola";"D L, DM";"R. Madrid";"26";"2";"159570";"100463510";"10.11.2002";"30.06.2029";"49056243";"1736"
"White, Benjamin";"Angleterre";"D RC";"Arsenal";"4";"0";"127600";"60030000";"08.10.1997";"30.06.2028";"29141472";"602"
"Semenyo, Antoine";"Ghana / Angleterre / Togo";"AM RL, ST";"Man City";"27";"3";"191400";"144197280";"07.01.2000";"30.06.2031";"29194724";"679"
"Caicedo, Moisés";"Équateur";"DM";"Chelsea";"55";"3";"162400";"206195210";"02.11.2001";"30.06.2031";"86078360";"630"
"Pote";"Portugal";"AM RLC";"Sporting CP";"3";"0";"73060";"71677300";"28.06.1998";"30.06.2030";"29192705";"1489"
"Di María, Ángel";"Argentine / Italie";"AM RLC";"Rosario Central";"145";"31";"21470";"1296810";"14.02.1988";"30.06.2026";"14000219";"95"
"Bremer";"Brésil";"D C";"Juventus";"5";"0";"178520";"60148790";"18.03.1997";"30.06.2029";"19270493";"1139"
"Zubimendi, Martín";"Espagne / Pays Basque";"DM";"Arsenal";"19";"2";"170820";"76947150";"02.02.1999";"30.06.2030";"67246385";"602"
"Maignan, Mike";"France / Guyane / Haïti";"GK";"Casciavit";"32";"0";"125930";"64757690";"03.07.1995";"30.06.2031";"85094520";"1099"
"Ekitiké, Hugo";"France / Cameroun";"AM L, ST";"Liverpool";"0";"0";"290000";"90989240";"20.06.2002";"30.06.2031";"49062667";"676"
"Pedro";"Espagne";"AM RLC";"Celesti";"65";"17";"54360";"347999990";"28.07.1987";"30.06.2026";"1510305";"1140"
"Costa, Diogo";"Portugal / Suisse";"GK";"FC Porto";"36";"0";"92280";"60148790";"19.09.1999";"30.06.2030";"83169226";"1478"
"Marquinhos";"Brésil / Portugal";"D C, DM";"Paris SG";"99";"7";"323880";"347999990";"14.05.1994";"30.06.2028";"19163495";"868"
"Rodrygo";"Brésil / Espagne";"AM RL, ST";"R. Madrid";"33";"7";"231340";"81005380";"09.01.2001";"30.06.2028";"19306929";"1736"
"Trincão, Francisco";"Portugal";"AM RC";"Sporting CP";"11";"2";"80750";"60148790";"29.12.1999";"30.06.2030";"83137935";"1489"
"Lukaku, Romelu";"Belgique / R.D. Congo";"ST";"Parthenope";"124";"89";"148250";"347999990";"13.05.1993";"30.06.2027";"18007344";"1150"
"Simón, Unai";"Espagne / Pays Basque";"GK";"A. Bilbao";"50";"0";"82510";"204991590";"11.06.1997";"30.06.2029";"67200923";"1664"
"David Neres";"Brésil";"AM RLC";"Parthenope";"8";"1";"107190";"51314430";"03.03.1997";"30.06.2028";"19260918";"1150"
"Pickford, Jordan";"Angleterre";"GK";"Everton";"76";"0";"220400";"347999990";"07.03.1994";"30.06.2029";"28054565";"650"
"Undav, Deniz";"Allemagne / Turquie / Syrie";"AM/F C";"VfB Stuttgart";"6";"3";"86510";"49788160";"19.07.1996";"30.06.2027";"91157307";"960"
"Džeko, Edin";"Bosnie / Italie";"ST";"FC Schalke 04";"141";"68";"14420";"609620";"17.03.1986";"30.06.2026";"8502440";"920"
"Ederson";"Brésil / Portugal";"GK";"Fenerbahçe";"29";"0";"265080";"347999990";"17.08.1993";"30.06.2028";"55057659";"1870"
"Gvardiol, Joško";"Croatie";"D LC";"Man City";"42";"3";"232000";"94678810";"23.01.2002";"30.06.2028";"24060473";"679"
"Orbán, Willi";"Hongrie / Allemagne / Pologne";"D C";"RB Leipzig";"58";"6";"115350";"347999990";"03.11.1992";"30.06.2027";"91011532";"91013388"
"Joan García";"Espagne";"GK";"Barcelone";"0";"0";"115390";"52836800";"04.05.2001";"30.06.2031";"67277675";"1708"
"James, Reece";"Angleterre";"D RC, DM";"Chelsea";"19";"1";"290000";"112752000";"08.12.1999";"30.06.2032";"28108035";"630"
"Tah, Jonathan";"Allemagne / Côte d'Ivoire";"D C";"FC Bayern München";"37";"0";"288380";"65271960";"11.02.1996";"30.06.2029";"91119700";"915"
"Neymar";"Brésil";"AM LC, F C";"SAN";"128";"79";"35530";"347999990";"05.02.1992";"31.12.2026";"19024412";"335"
"Carvajal, Dani";"Espagne";"D/WB R";"R. Madrid";"51";"1";"199950";"12284400";"11.01.1992";"30.06.2026";"67139735";"1736"
"Muriqi, Vedat";"Kosovo / Albanie";"ST";"Mallorca";"60";"31";"77110";"347999990";"24.04.1994";"30.06.2029";"11022221";"1726"
"Stones, John";"Angleterre";"D RC, DM";"Man City";"83";"3";"232000";"54742800";"28.05.1994";"30.06.2026";"28060397";"679"
"Sommer, Yann";"Suisse";"GK";"Blu-neri";"94";"0";"61880";"4741450";"17.12.1988";"30.06.2026";"69000199";"1135"
"Valverde, Federico";"Uruguay / Espagne";"DM, AM RC";"R. Madrid";"69";"8";"210310";"96640300";"22.07.1998";"30.06.2029";"78074594";"1736"
"Carnesecchi, Marco";"Italie";"GK";"Bergamo";"0";"0";"28530";"30393940";"01.07.2000";"30.06.2030";"43298002";"1106"
"Calafiori, Riccardo";"Italie";"D LC";"Arsenal";"9";"0";"75400";"82108670";"19.05.2002";"30.06.2029";"43424738";"602"
"Neves, João";"Portugal";"DM";"Paris SG";"16";"0";"175240";"167949860";"27.09.2004";"30.06.2029";"2000030130";"868"
"Mahrez, Riyad";"Algérie / France / Maroc";"AM R";"Al Ahli";"102";"32";"305660";"6054570";"21.02.1991";"30.06.2026";"85078058";"102850"
"Lobotka, Stanislav";"Slovaquie";"DM";"Parthenope";"67";"4";"69210";"25062000";"25.11.1994";"30.06.2027";"63012964";"1150"
"Zaccagni, Mattia";"Italie";"AM LC";"Celesti";"10";"1";"107190";"347999990";"16.06.1995";"30.06.2029";"43125343";"1140"
"Tadic, Dušan";"Serbie";"AM RLC";"Al-Wahda";"109";"20";"134580";"918400";"20.11.1988";"30.06.2026";"5788648";"135430"
"Romero, Cristian";"Argentine";"D C";"Spurs";"44";"3";"232000";"67755600";"27.04.1998";"30.06.2029";"14130029";"728"
"Eze, Ebere";"Angleterre / Nigeria";"AM RLC";"Arsenal";"12";"1";"220400";"60030000";"29.06.1998";"30.06.2029";"29156522";"602"
"Greenwood, Mason";"Jamaïque / Angleterre";"AM RLC";"Olympique de Marseille";"0";"0";"87720";"78440040";"01.10.2001";"30.06.2029";"28121564";"866"
"Guéhi, Marc";"Angleterre / Côte d'Ivoire";"D C";"Man City";"23";"0";"348000";"103675000";"13.07.2000";"30.06.2031";"28108033";"679"
"Mac Allister, Alexis";"Argentine";"DM, AM C";"Liverpool";"38";"4";"203000";"69977000";"24.12.1998";"30.06.2028";"14157184";"676"
"Griezmann, Antoine";"France / Portugal / Pays Basque";"AM RLC, F C";"A. Madrid";"135";"44";"269160";"347999990";"21.03.1991";"30.06.2027";"67086656";"1687"
"Trossard, Leandro";"Belgique";"AM RLC, F C";"Arsenal";"44";"10";"185600";"53484260";"04.12.1994";"30.06.2027";"18054004";"602"
"Škriniar, Milan";"Slovaquie";"D C";"Fenerbahçe";"81";"3";"192780";"57879980";"11.02.1995";"30.06.2029";"63013145";"1870"
"van Hecke, Jan Paul";"Pays-Bas";"D C";"Brighton";"5";"0";"63800";"67755600";"08.06.2000";"30.06.2027";"37076335";"618"
"Tchouaméni, Aurélien";"France / Cameroun";"D C, DM";"R. Madrid";"41";"3";"240320";"73078070";"27.01.2000";"30.06.2028";"48042326";"1736"
"Doué, Désiré";"France / Côte d'Ivoire";"AM RLC";"Paris SG";"3";"0";"52630";"101787790";"03.06.2005";"30.06.2029";"2000115202";"868"
"Mamardashvili, Giorgi";"Géorgie";"GK";"Liverpool";"29";"0";"145000";"60652530";"29.09.2000";"30.06.2030";"59138294";"676"
"Giroud, Olivier";"France";"ST";"LOSC";"137";"57";"37000";"1900880";"30.09.1986";"30.06.2026";"34000647";"858"
"Cherki, Rayan";"France / Algérie / Italie";"AM RLC, F C";"Man City";"2";"1";"127600";"96209620";"17.08.2003";"30.06.2030";"49056279";"679"
"Isco";"Espagne";"AM RLC";"Real Hispalis";"39";"12";"115480";"347999990";"21.04.1992";"30.06.2028";"67103537";"1733"
"Havertz, Kai";"Allemagne";"AM/F C";"Arsenal";"55";"20";"255200";"45617000";"11.06.1999";"30.06.2028";"91151081";"602"
"Ayoze Pérez";"Espagne";"AM RLC, F C";"Villarreal";"2";"1";"90120";"347999990";"29.07.1993";"30.06.2028";"67172040";"1777"
"Zambo Anguissa, André-Franck";"Cameroun";"DM";"Parthenope";"62";"5";"66700";"75073010";"16.11.1995";"30.06.2027";"48030711";"1150"
"de Ligt, Matthijs";"Pays-Bas";"D C";"Man Utd";"50";"2";"255200";"82541250";"12.08.1999";"30.06.2029";"37055843";"680"
"Kamara, Boubacar";"France";"DM";"Aston Villa";"5";"0";"174000";"76974700";"23.11.1999";"30.06.2030";"48043084";"603"
"Aspas, Iago";"Espagne";"AM RC, F C";"Vigo";"18";"6";"49990";"3074960";"01.08.1987";"30.06.2026";"67010455";"1724"
"Asensio, Marco";"Espagne / Pays-Bas";"AM RLC";"Fenerbahçe";"38";"2";"192780";"59547300";"21.01.1996";"30.06.2028";"67197125";"1870"
"Kim Min-Jae";"Corée du Sud";"D C";"FC Bayern München";"73";"4";"230710";"32886350";"15.11.1996";"30.06.2028";"89063073";"915"
"Mendes, Nuno";"Portugal / Cap-Vert";"D/WB L";"Paris SG";"37";"1";"148060";"191593460";"19.06.2002";"30.06.2029";"83261910";"868"
"Martínez, Emiliano";"Argentine";"GK";"Aston Villa";"53";"0";"185600";"347999990";"02.09.1992";"30.06.2029";"14020367";"603"
"Palacios, Exequiel";"Argentine";"DM";"Bayer 04 Leverkusen";"36";"0";"144190";"88249100";"05.10.1998";"30.06.2030";"14110846";"901"
"Kleindienst, Tim";"Allemagne";"ST";"Borussia M'gladbach";"6";"4";"76900";"26630880";"31.08.1995";"30.06.2029";"92065436";"908"
"Milinkovic-Savic, Sergej";"Serbie / Espagne";"DM, AM C";"Al Hilal";"53";"9";"276660";"76368600";"27.02.1995";"30.06.2028";"62127037";"102852"
"Fermín";"Espagne";"AM RLC";"Barcelone";"2";"0";"144190";"100463510";"11.05.2003";"30.06.2031";"2000141742";"1708"
"Schick, Patrik";"Rép. tchèque";"ST";"Bayer 04 Leverkusen";"46";"24";"192260";"60961550";"24.01.1996";"30.06.2030";"25042141";"901"
"Rüdiger, Antonio";"Allemagne / Sierra Leone";"D C";"R. Madrid";"79";"3";"278770";"26242260";"03.03.1993";"30.06.2026";"92023410";"1736"
"Zirkzee, Joshua";"Pays-Bas / Nigeria";"AM/F C";"Man Utd";"6";"1";"121800";"50421330";"22.05.2001";"30.06.2029";"37060922";"680"
"Çalhanoglu, Hakan";"Turquie / Allemagne";"DM";"Blu-neri";"97";"21";"214180";"347999990";"08.02.1994";"30.06.2027";"92026209";"1135"
"Pavlidis, Vangelis";"Grèce";"ST";"Benfica";"48";"9";"55370";"60925710";"21.11.1998";"30.06.2029";"91151156";"1487"
"De Paul, Rodrigo";"Argentine / Italie";"AM RC";"Inter Miami";"78";"2";"197510";"347999990";"24.05.1994";"31.12.2029";"14048343";"72052048"
"Lunin, Andriy";"Ukraine";"GK";"R. Madrid";"16";"0";"53830";"33563020";"11.02.1999";"30.06.2030";"71099053";"1736"
"Son, Heung-Min";"Corée du Sud";"AM L, ST";"LAFC";"138";"53";"184180";"347999990";"08.07.1992";"31.12.2026";"92020288";"72049313"
"Moleiro, Alberto";"Espagne / Cuba";"AM LC";"Villarreal";"0";"0";"71490";"111555940";"30.09.2003";"30.06.2030";"2000028320";"1777"
"Gordon, Anthony";"Angleterre / Irlande / Écosse";"AM RL";"Newcastle";"12";"1";"150800";"91485330";"24.02.2001";"30.06.2029";"28116386";"688"
"Konaté, Ibrahima";"France / Mali";"D C";"Liverpool";"23";"0";"162400";"50487840";"25.05.1999";"30.06.2026";"48037822";"676"
"Lee, Kang-In";"Corée du Sud";"AM RLC";"Paris SG";"42";"11";"140150";"43975450";"19.02.2001";"30.06.2028";"67260506";"868"
"Elliott, Harvey";"Angleterre";"AM RC";"Aston Villa";"0";"0";"98600";"37178000";"04.04.2003";"30.06.2027";"29233143";"603"
"Eric García";"Espagne";"D RC, DM";"Barcelone";"19";"0";"153880";"49112150";"09.01.2001";"30.06.2031";"28116427";"1708"
"Marmoush, Omar";"Égypte / Canada";"AM RLC, F C";"Man City";"37";"6";"301600";"84651000";"07.02.1999";"30.06.2029";"91205962";"679"
"Szoboszlai, Dominik";"Hongrie";"DM, AM RC";"Liverpool";"55";"16";"168200";"94488570";"25.10.2000";"30.06.2028";"16202373";"676"
"Olmo, Dani";"Espagne";"AM/F C";"Barcelone";"43";"11";"240590";"66503500";"07.05.1998";"30.06.2030";"24048100";"1708"
"Kanté, N'Golo";"France / Mali";"DM";"Fenerbahçe";"64";"2";"403880";"347999990";"29.03.1991";"30.06.2028";"85081880";"1870"
"Cristiano Ronaldo";"Portugal";"ST";"Al Nassr";"221";"138";"3959890";"347999990";"05.02.1985";"30.06.2027";"735216";"102862"
"Botman, Sven";"Pays-Bas";"D C";"Newcastle";"0";"0";"145000";"67755600";"12.01.2000";"30.06.2030";"37063649";"688"
"Suárez, Luis";"Uruguay / Italie";"ST";"Inter Miami";"143";"69";"24770";"347999990";"24.01.1987";"31.12.2026";"78000335";"72052048"
"Robertson, Andrew";"Écosse";"D/WB L";"Liverpool";"84";"4";"203000";"32114990";"11.03.1994";"30.06.2026";"61043456";"676"
"Kerkez, Miloš";"Hongrie / Serbie";"D/WB/M L";"Liverpool";"23";"0";"162400";"84725240";"07.11.2003";"30.06.2030";"2000011147";"676"
"Rrahmani, Amir";"Kosovo / Albanie";"D C";"Parthenope";"64";"7";"61880";"347999990";"24.02.1994";"30.06.2027";"11023165";"1150"
"Koné, Manu";"France / Côte d'Ivoire";"DM";"AS Roma";"8";"0";"100050";"68093440";"17.05.2001";"30.06.2029";"49047182";"1100"
"Mikautadze, Georges";"Géorgie / France";"AM L, ST";"Villarreal";"37";"20";"66270";"60208940";"31.10.2000";"30.06.2031";"49043189";"1777"
"Maguire, Harry";"Angleterre";"D C";"Man Utd";"64";"7";"232000";"20698900";"05.03.1993";"30.06.2026";"28049740";"680"
"Mayoral, Borja";"Espagne";"ST";"Getafe";"0";"0";"92090";"20049600";"05.04.1997";"30.06.2027";"67211912";"1710"
"de Jong, Luuk";"Pays-Bas / Suisse";"ST";"FC Porto";"39";"8";"48060";"3811930";"27.08.1990";"30.06.2026";"37008621";"1478"
"Mittelstädt, Maximilian";"Allemagne";"D/WB L";"VfB Stuttgart";"14";"1";"57680";"32967550";"18.03.1997";"30.06.2028";"91143714";"960"
"Joelinton";"Brésil";"AM LC";"Newcastle";"5";"1";"133400";"71519800";"14.08.1996";"30.06.2028";"19184436";"688"
"Baumann, Oliver";"Allemagne";"GK";"TSG Hoffenheim";"4";"0";"86510";"347999990";"02.06.1990";"30.06.2028";"35017377";"879226"
"Éderson";"Brésil";"DM, AM C";"Bergamo";"2";"0";"49350";"49498690";"07.07.1999";"30.06.2027";"19326796";"1106"
"Truffert, Adrien";"France";"D/WB/M L";"Bournemouth";"1";"0";"69600";"55351330";"20.11.2001";"30.06.2030";"49050736";"600"
"Perišic, Ivan";"Croatie";"AM RL";"PSV";"144";"36";"32580";"347999990";"02.02.1989";"30.06.2027";"34012563";"1028"
"Mkhitaryan, Henrikh";"Arménie";"DM";"Blu-neri";"94";"32";"93890";"4853210";"21.01.1989";"30.06.2026";"59006269";"1135"
"Woltemade, Nick";"Allemagne";"AM/F C";"Newcastle";"2";"0";"156600";"82530130";"14.02.2002";"30.06.2031";"91187791";"688"
"Mendy, Ferland";"France / Sénégal / Guinée-Bissau";"D/WB L";"R. Madrid";"10";"0";"199950";"26104470";"08.06.1995";"30.06.2027";"85133751";"1736"
"Bastoni, Alessandro";"Italie";"D C";"Blu-neri";"37";"2";"196450";"93538880";"13.04.1999";"30.06.2028";"43252460";"1135"
"Yildiz, Kenan";"Turquie / Allemagne";"AM RLC, F C";"Juventus";"21";"2";"213990";"134649080";"04.05.2005";"30.06.2030";"2000138835";"1139"
"Sancho, Jadon";"Angleterre / Trinité-et-Tobago / Jamaïque";"AM RLC";"Aston Villa";"23";"3";"319000";"41168400";"25.03.2000";"30.06.2026";"28108490";"603"
"Osimhen, Victor";"Nigeria";"ST";"Galatasaray";"40";"26";"506060";"75787480";"29.12.1998";"30.06.2029";"13158205";"1871"
"Mitoma, Kaoru";"Japon";"AM L";"Brighton";"27";"8";"100920";"75284000";"20.05.1997";"30.06.2027";"45111891";"618"
"Chiesa, Federico";"Italie";"AM RLC, F C";"Liverpool";"51";"7";"139200";"56898000";"25.10.1997";"30.06.2028";"43161651";"676"
"Trubin, Anatolii";"Ukraine";"GK";"Benfica";"20";"0";"74020";"71714230";"01.08.2001";"30.06.2028";"71101334";"1487"
"Alexander-Arnold, Trent";"Angleterre";"D/WB R, DM";"R. Madrid";"34";"4";"288380";"57977420";"07.10.1998";"30.06.2031";"28104124";"1736"
"Szczesny, Wojciech";"Pologne";"GK";"Barcelone";"84";"0";"60150";"11095600";"18.04.1990";"30.06.2027";"28009478";"1708"
"Nico González";"Espagne";"DM, AM C";"Man City";"0";"0";"174000";"85625010";"03.01.2002";"30.06.2029";"67276127";"679"
"Reinildo";"Mozambique";"D LC";"Sunderland";"46";"3";"75400";"347999990";"21.01.1994";"30.06.2027";"13160655";"722"
"Kubo, Takefusa";"Japon";"AM RC, F C";"Real San Sebastián";"44";"7";"42060";"68485280";"04.06.2001";"30.06.2029";"45104608";"1742"
